col_name,question_text,orig_code_row1,q_no,q_type,multi_group,value_type,value_labels
v001,The published format which was employed,ID.format,,,,,
v002,Case completed in Snap Interviewer,ID.completed,,,,,
v003,Language ~ ? ~ Idioma ~ Langue ~ Língua,ID.language,,,,,
v004,"Which, if any, of the following degrees are you currently studying for?",Q2,,,,,
v005,What will be the total duration of your graduate degree?,Q3,,,,,
v006,How far into your graduate degree are you?,Q4,,,,,
v007,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:1,,,,,
v008,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:2,,,,,
v009,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:3,,,,,
v010,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:4,,,,,
v011,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:5,,,,,
v012,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:6,,,,,
v013,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:7,,,,,
v014,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:8,,,,,
v015,Which were the most important reasons you decided to enroll for a Master’s/PhD degree?,Q5:9,,,,,
v016,Are you studying in the country you grew up in?   ,Q6,,,,,
v017,What prompted you to study outside your country of upbringing?,Q7:1,,,,,
v018,What prompted you to study outside your country of upbringing?,Q7:2,,,,,
v019,What prompted you to study outside your country of upbringing?,Q7:3,,,,,
v020,What prompted you to study outside your country of upbringing?,Q7:4,,,,,
v021,What prompted you to study outside your country of upbringing?,Q7:5,,,,,
v022,What prompted you to study outside your country of upbringing?,Q7:6,,,,,
v023,What prompted you to study outside your country of upbringing?,Q7:7,,,,,
v024,What prompted you to study outside your country of upbringing?,Q7:8,,,,,
v025,What prompted you to study outside your country of upbringing?,Q7:9,,,,,
v026,What prompted you to study outside your country of upbringing?,Q7:10,,,,,
v027,What prompted you to study outside your country of upbringing?,Q7:11,,,,,
v028,What prompted you to study outside your country of upbringing?,Q7:12,,,,,
v029,What prompted you to study outside your country of upbringing?,Q7:13,,,,,
v030,Where do you currently live?,Q8,,,,,
v031,Which country/region in Asia?,Q9,,,,,
v032,Which country in Australasia?,Q10,,,,,
v033,Which country in Africa?,Q11,,,,,
v034,Which country in Europe?,Q12,,,,,
v035,Which country in North or Central America?,Q13,,,,,
v036,Which country in South America?,Q14,,,,,
v037,Do you have a job alongside your studies?,Q15,,,,,
v038,What is your main reason for having a job?,Q16,,,,,
v039,Do you expect to go into debt as a result of your graduate degree?,Q17,,,,,
v040,How much debt do you expect to be in on completion of your graduate degree?,Q18,,,,,
v041,To what extent do you agree with the following statements?: I am able to save money alongside my studies,Q19.a,,,,,
v042,To what extent do you agree with the following statements?: I am worried about the increasing cost of living,Q19.b,,,,,
v043,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies,Q19.c,,,,,
v044,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt,Q19.d,,,,,
v045,What concerns have you had since you started your graduate degree? The difficulty of getting funding / low success rates for grant applications,Q20.a,,,,,
v046,What concerns have you had since you started your graduate degree? Inability to finish my studies in the time period I had set out to ,Q20.b,,,,,
v047,What concerns have you had since you started your graduate degree? Impact of a poor relationship with my supervisor,Q20.c,,,,,
v048,What concerns have you had since you started your graduate degree? The number of available faculty research jobs ,Q20.d,,,,,
v049,What concerns have you had since you started your graduate degree? The high numbers of early career researchers on continuing temporary contracts as postdocs,Q20.e,,,,,
v050,What concerns have you had since you started your graduate degree? The difficulty of maintaining a work/life balance,Q20.f,,,,,
v051,What concerns have you had since you started your graduate degree? Uncertainty about the value of a graduate degree,Q20.g,,,,,
v052,What concerns have you had since you started your graduate degree? Uncertainty about future employment/career prospects,Q20.h,,,,,
v053,What concerns have you had since you started your graduate degree? Student debt during my graduate degree,Q20.i,,,,,
v054,"What concerns have you had since you started your graduate degree? Financial worries after my graduate degree (cost of living, inability to save for a house, children, retirement)",Q20.j,,,,,
v055,What concerns have you had since you started your graduate degree? Political landscape ,Q20.k,,,,,
v056,What concerns have you had since you started your graduate degree? Impostor syndrome,Q20.l,,,,,
v057,What concerns have you had since you started your graduate degree? Concern about my mental health as a result of undertaking a graduate degree,Q20.m,,,,,
v058,What concerns have you had since you started your graduate degree? Poor support and acknowledgement of my parenting/elder care responsibilities ,Q20.n,,,,,
v059,What concerns have you had since you started your graduate degree? Access to teaching staff and supervisors being restricted under remote study formats,Q20.o,,,,,
v060,"Overall, what do you enjoy most about life as a graduate student? ",Q22:1,,,,,
v061,"Overall, what do you enjoy most about life as a graduate student? ",Q22:2,,,,,
v062,"Overall, what do you enjoy most about life as a graduate student? ",Q22:3,,,,,
v063,"Overall, what do you enjoy most about life as a graduate student? ",Q22:4,,,,,
v064,"Overall, what do you enjoy most about life as a graduate student? ",Q22:5,,,,,
v065,"Overall, what do you enjoy most about life as a graduate student? ",Q22:6,,,,,
v066,"Overall, what do you enjoy most about life as a graduate student? ",Q22:7,,,,,
v067,"Overall, what do you enjoy most about life as a graduate      student? ",Q22:8,,,,,
v068,"Overall, what do you enjoy most about life as a graduate student? ",Q22:9,,,,,
v069,"Overall, what do you enjoy most about life as a graduate student? ",Q22:10,,,,,
v070,How satisfied are you with your decision to pursue a graduate degree?,Q23.a,,,,,
v071,Are you planning on pursuing a PhD once you’ve completed your Master's degree?,Q24,,,,,
v072,How satisfied are you with your graduate degree experience?,Q25.a,,,,,
v073,"Since the very start of your graduate school experience, would you say your level of satisfaction has:",Q26,,,,,
v074,How satisfied are you with each of the following attributes or aspects of your degree? Availability of funding        ,Q27.a,,,,,
