col_name,question_text,orig_code_row1,q_no,q_type,multi_group,value_type,value_labels
v001,The published format which was employed,ID.format,ID.format,single,,,
v002,Case completed in Snap Interviewer,ID.completed,ID.completed,single,,,
v003,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua,ID.language,ID.language,single,,,
v004,"Which, if any, of the following degrees are you currently studying for?",Q2,Q2,single,,,
v005,What will be the total duration of your graduate degree?,Q3,Q3,single,,,
v006,How far into your graduate degree are you?,Q4,Q4,single,,,
v007,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:1,Q5,multiple,Q5,,
v008,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:2,Q5,multiple,Q5,,
v009,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:3,Q5,multiple,Q5,,
v010,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:4,Q5,multiple,Q5,,
v011,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:5,Q5,multiple,Q5,,
v012,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:6,Q5,multiple,Q5,,
v013,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:7,Q5,multiple,Q5,,
v014,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:8,Q5,multiple,Q5,,
v015,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree?,Q5:9,Q5,multiple,Q5,,
v016,Are you studying in the country you grew up in? Â  ,Q6,Q6,single,,,
v017,What prompted you to study outside your country of upbringing?,Q7:1,Q7,multiple,Q7,,
v018,What prompted you to study outside your country of upbringing?,Q7:2,Q7,multiple,Q7,,
v019,What prompted you to study outside your country of upbringing?,Q7:3,Q7,multiple,Q7,,
v020,What prompted you to study outside your country of upbringing?,Q7:4,Q7,multiple,Q7,,
v021,What prompted you to study outside your country of upbringing?,Q7:5,Q7,multiple,Q7,,
v022,What prompted you to study outside your country of upbringing?,Q7:6,Q7,multiple,Q7,,
v023,What prompted you to study outside your country of upbringing?,Q7:7,Q7,multiple,Q7,,
v024,What prompted you to study outside your country of upbringing?,Q7:8,Q7,multiple,Q7,,
v025,What prompted you to study outside your country of upbringing?,Q7:9,Q7,multiple,Q7,,
v026,What prompted you to study outside your country of upbringing?,Q7:10,Q7,multiple,Q7,,
v027,What prompted you to study outside your country of upbringing?,Q7:11,Q7,multiple,Q7,,
v028,What prompted you to study outside your country of upbringing?,Q7:12,Q7,multiple,Q7,,
v029,What prompted you to study outside your country of upbringing?,Q7:13,Q7,multiple,Q7,,
v030,Where do you currently live?,Q8,Q8,single,,,
v031,Which country/region in Asia?,Q9,Q9,single,,,
v032,Which country in Australasia?,Q10,Q10,single,,,
v033,Which country in Africa?,Q11,Q11,single,,,
v034,Which country in Europe?,Q12,Q12,single,,,
v035,Which country in North or Central America?,Q13,Q13,single,,,
v036,Which country in South America?,Q14,Q14,single,,,
v037,Do you have a job alongside your studies?,Q15,Q15,single,,,
v038,What is your main reason for having a job?,Q16,Q16,single,,,
v039,Do you expect to go into debt as a result of your graduate degree?,Q17,Q17,single,,,
v040,How much debt do you expect to be in on completion of your graduate degree?,Q18,Q18,single,,,
v041,To what extent do you agree with the following statements?: I am able to save money alongside my studies,Q19.a,Q19.a,likert,,,
v042,To what extent do you agree with the following statements?: I am worried about the increasing cost of living,Q19.b,Q19.b,likert,,,
v043,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies,Q19.c,Q19.c,likert,,,
v044,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt,Q19.d,Q19.d,likert,,,
v045,What concerns have you had since you started your graduate degree? The difficulty of getting funding / low success rates for grant applications,Q20.a,Q20.a,likert,,,
v046,What concerns have you had since you started your graduate degree? Inability to finish my studies in the time period I had set out to ,Q20.b,Q20.b,likert,,,
v047,What concerns have you had since you started your graduate degree? Impact of a poor relationship with my supervisor,Q20.c,Q20.c,likert,,,
v048,What concerns have you had since you started your graduate degree? The number of available faculty research jobs ,Q20.d,Q20.d,likert,,,
v049,What concerns have you had since you started your graduate degree? The high numbers of early career researchers on continuing temporary contracts as postdocs,Q20.e,Q20.e,likert,,,
v050,What concerns have you had since you started your graduate degree? The difficulty of maintaining a work/life balance,Q20.f,Q20.f,likert,,,
v051,What concerns have you had since you started your graduate degree? Uncertainty about the value of a graduate degree,Q20.g,Q20.g,likert,,,
v052,What concerns have you had since you started your graduate degree? Uncertainty about future employment/career prospects,Q20.h,Q20.h,likert,,,
v053,What concerns have you had since you started your graduate degree? Student debt during my graduate degree,Q20.i,Q20.i,likert,,,
v054,"What concerns have you had since you started your graduate degree? Financial worries after my graduate degree (cost of living, inability to save for a house, children, retirement)",Q20.j,Q20.j,likert,,,
v055,What concerns have you had since you started your graduate degree? Political landscape ,Q20.k,Q20.k,likert,,,
v056,What concerns have you had since you started your graduate degree? Impostor syndrome,Q20.l,Q20.l,likert,,,
v057,What concerns have you had since you started your graduate degree? Concern about my mental health as a result of undertaking a graduate degree,Q20.m,Q20.m,likert,,,
v058,What concerns have you had since you started your graduate degree? Poor support and acknowledgement of my parenting/elder care responsibilities ,Q20.n,Q20.n,likert,,,
v059,What concerns have you had since you started your graduate degree? Access to teaching staff and supervisors being restricted under remote study formats,Q20.o,Q20.o,likert,,,
v060,"Overall, what do you enjoy most about life as a graduate student? ",Q22:1,Q22,multiple,Q22,,
v061,"Overall, what do you enjoy most about life as a graduate student? ",Q22:2,Q22,multiple,Q22,,
v062,"Overall, what do you enjoy most about life as a graduate student? ",Q22:3,Q22,multiple,Q22,,
v063,"Overall, what do you enjoy most about life as a graduate student? ",Q22:4,Q22,multiple,Q22,,
v064,"Overall, what do you enjoy most about life as a graduate student? ",Q22:5,Q22,multiple,Q22,,
v065,"Overall, what do you enjoy most about life as a graduate student? ",Q22:6,Q22,multiple,Q22,,
v066,"Overall, what do you enjoy most about life as a graduate student? ",Q22:7,Q22,multiple,Q22,,
v067,"Overall, what do you enjoy most about life as a graduate      student? ",Q22:8,Q22,multiple,Q22,,
v068,"Overall, what do you enjoy most about life as a graduate student? ",Q22:9,Q22,multiple,Q22,,
v069,"Overall, what do you enjoy most about life as a graduate student? ",Q22:10,Q22,multiple,Q22,,
v070,How satisfied are you with your decision to pursue a graduate degree?,Q23.a,Q23.a,likert,,,
v071,Are you planning on pursuing a PhD once youâve completed your Master's degree?,Q24,Q24,single,,,
v072,How satisfied are you with your graduate degree experience?,Q25.a,Q25.a,likert,,,
v073,"Since the very start of your graduate school experience, would you say your level of satisfaction has:",Q26,Q26,single,,,
v074,How satisfied are you with each of the following attributes or aspects of your degree? Availability of funding        ,Q27.a,Q27.a,likert,,,
v075,How satisfied are you with each of the following attributes or aspects of your degree? Hours worked,Q27.b,Q27.b,likert,,,
v076,How satisfied are you with each of the following attributes or aspects of your degree? Social environment,Q27.c,Q27.c,likert,,,
v077,How satisfied are you with each of the following attributes or aspects of your degree? Degree of independence,Q27.d,Q27.d,likert,,,
v078,How satisfied are you with each of the following attributes or aspects of your degree? Recognition from supervisor,Q27.e,Q27.e,likert,,,
v079,How satisfied are you with each of the following attributes or aspects of your degree? Overall relationship with supervisor,Q27.f,Q27.f,likert,,,
