code,count,percent,code_int,label,col_name,q_no,question_text,multi_group
1.0,995,30.58715032277897,1,1.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
2.0,825,25.361205041500153,2,2.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
3.0,610,18.751921303412235,3,3.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
4.0,518,15.923762680602522,4,4.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
5.0,263,8.08484475868429,5,5.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
6.0,37,1.1374116200430373,6,6.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
7.0,4,0.12296341838303104,7,7.0,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
,1,0.03074085459575776,,,v041_num,Q19.a,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],
1.0,2001,61.512450046111276,1,1.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
2.0,778,23.91638487549954,2,2.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
3.0,180,5.533353827236398,3,3.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
4.0,171,5.256686135874578,4,4.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
5.0,100,3.074085459575776,5,5.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
6.0,18,0.5533353827236397,6,6.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
7.0,4,0.12296341838303104,7,7.0,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
,1,0.03074085459575776,,,v042_num,Q19.b,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],
1.0,793,24.377497694435903,1,1.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
2.0,679,20.87304027051952,2,2.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
3.0,582,17.89117737473102,3,3.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
4.0,573,17.6145096833692,4,4.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
5.0,467,14.355979096218874,5,5.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
6.0,148,4.549646480172149,6,6.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
7.0,10,0.3074085459575776,7,7.0,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
,1,0.03074085459575776,,,v043_num,Q19.c,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],
1.0,988,30.37196434060867,1,1.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
2.0,740,22.748232400860743,2,2.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
3.0,416,12.788195511835228,3,3.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
4.0,390,11.988933292345527,4,4.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
5.0,374,11.497079618813403,5,5.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
6.0,322,9.898555179834,6,6.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
7.0,22,0.6762988011066707,7,7.0,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
,1,0.03074085459575776,,,v044_num,Q19.d,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],
