region_continent,high_stress_group,v031,v032,v033,v034,v035,v036
South America,0,,,,,,Brazil
Europe,0,,,,United Kingdom,,
Europe,1,,,,United Kingdom,,
Europe,0,,,,Netherlands,,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,Canada,
North/Central America,0,,,,,United States,
Europe,0,,,,United Kingdom,,
Europe,0,,,,United Kingdom,,
North/Central America,0,,,,,Canada,
Europe,1,,,,United Kingdom,,
Europe,1,,,,Luxembourg,,
Asia,0,Japan,,,,,
Africa,1,,,Cameroon,,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,Canada,
Europe,0,,,,Switzerland,,
North/Central America,0,,,,,United States,
Europe,1,,,,United Kingdom,,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
Europe,0,,,,United Kingdom,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
Asia,1,India,,,,,
Asia,1,China,,,,,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
Asia,1,South Korea,,,,,
Asia,0,China,,,,,
Asia,0,Qatar,,,,,
Asia,1,India,,,,,
Europe,1,,,,Czech Republic,,
Europe,1,,,,Germany,,
North/Central America,0,,,,,United States,
Europe,1,,,,United Kingdom,,
Europe,0,,,,Germany,,
Europe,1,,,,Portugal,,
Asia,1,India,,,,,
Europe,1,,,,Czech Republic,,
Asia,0,Singapore,,,,,
Europe,0,,,,France,,
Europe,1,,,,Germany,,
Europe,1,,,,Czech Republic,,
Europe,0,,,,Germany,,
Asia,0,Israel and the Palestinian territories,,,,,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
Asia,1,China,,,,,
Europe,0,,,,United Kingdom,,
Africa,0,,,Kenya,,,
North/Central America,1,,,,,United States,
Europe,1,,,,Spain,,
Europe,0,,,,Germany,,
Australasia,0,,Australia,,,,
North/Central America,1,,,,,United States,
Europe,0,,,,Finland,,
Europe,0,,,,United Kingdom,,
Europe,0,,,,Netherlands,,
Europe,0,,,,United Kingdom,,
Asia,0,Iran,,,,,
Australasia,0,,Australia,,,,
Africa,0,,,South Africa,,,
South America,0,,,,,,Colombia
Asia,0,China,,,,,
Asia,0,China,,,,,
Europe,0,,,,Germany,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Asia,0,India,,,,,
Asia,0,Japan,,,,,
Europe,0,,,,United Kingdom,,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
Europe,1,,,,France,,
Europe,1,,,,Portugal,,
Europe,1,,,,Germany,,
Europe,0,,,,Greece,,
Asia,0,India,,,,,
Asia,0,India,,,,,
Asia,1,India,,,,,
North/Central America,1,,,,,United States,
Africa,0,,,Zimbabwe,,,
South America,0,,,,,,Brazil
Africa,0,,,South Africa,,,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
Asia,1,China,,,,,
Asia,0,China,,,,,
North/Central America,1,,,,,United States,
South America,0,,,,,,Ecuador
Australasia,0,,Australia,,,,
North/Central America,1,,,,,Canada,
Europe,1,,,,Italy,,
North/Central America,1,,,,,United States,
Europe,1,,,,France,,
Asia,0,India,,,,,
Africa,0,,,Uganda,,,
Asia,0,India,,,,,
North/Central America,1,,,,,United States,
Africa,0,,,Ethiopia,,,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,Mexico,
North/Central America,0,,,,,United States,
Africa,1,,,Uganda,,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Europe,0,,,,United Kingdom,,
Asia,0,China,,,,,
North/Central America,0,,,,,United States,
South America,1,,,,,,Brazil
Europe,1,,,,United Kingdom,,
North/Central America,1,,,,,United States,
Europe,0,,,,Spain,,
Asia,0,India,,,,,
North/Central America,1,,,,,United States,
Europe,0,,,,United Kingdom,,
Europe,0,,,,United Kingdom,,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
South America,0,,,,,,Colombia
Europe,0,,,,Germany,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Europe,0,,,,United Kingdom,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
Europe,0,,,,United Kingdom,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Europe,1,,,,United Kingdom,,
North/Central America,1,,,,,United States,
Europe,1,,,,Netherlands,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
Europe,1,,,,Netherlands,,
Europe,0,,,,Netherlands,,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
Europe,1,,,,United Kingdom,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
Africa,1,,,Tunisia,,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Africa,0,,,Nigeria,,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Europe,0,,,,Malta,,
Europe,1,,,,Poland,,
North/Central America,0,,,,,Canada,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,United States,
North/Central America,1,,,,,Canada,
Europe,1,,,,Finland,,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Europe,1,,,,Sweden,,
Europe,1,,,,United Kingdom,,
North/Central America,0,,,,,United States,
Europe,0,,,,Malta,,
Europe,1,,,,United Kingdom,,
South America,1,,,,,,Brazil
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
Africa,0,,,South Africa,,,
Europe,1,,,,Germany,,
Europe,1,,,,Germany,,
Europe,0,,,,Sweden,,
Europe,0,,,,Switzerland,,
North/Central America,1,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
North/Central America,0,,,,,United States,
Asia,0,Turkey,,,,,
North/Central America,1,,,,,United States,
Europe,0,,,,Spain,,
Australasia,0,,New Zealand,,,,
North/Central America,0,,,,,United States,
Europe,1,,,,Germany,,
North/Central America,0,,,,,United States,
Africa,0,,,Ethiopia,,,
Australasia,1,,New Zealand,,,,
