help_label,degree_code_int,degree_label,high_stress_group,count,percent_within_help_degree
I want help but have not yet sought it,1,Doctorate degree (PhD/DPhil/MD),0,179,45.431472081218274
I want help but have not yet sought it,1,Doctorate degree (PhD/DPhil/MD),1,215,54.568527918781726
I want help but have not yet sought it,2,Master's degree (MA/MS/MSc/PSM or other Master’s),0,95,65.97222222222221
I want help but have not yet sought it,2,Master's degree (MA/MS/MSc/PSM or other Master’s),1,49,34.02777777777778
I want help but have not yet sought it,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",1,4,100.0
I want help/have asked for help but have not yet received it,1,Doctorate degree (PhD/DPhil/MD),0,31,34.44444444444444
I want help/have asked for help but have not yet received it,1,Doctorate degree (PhD/DPhil/MD),1,59,65.55555555555556
I want help/have asked for help but have not yet received it,2,Master's degree (MA/MS/MSc/PSM or other Master’s),0,14,50.0
I want help/have asked for help but have not yet received it,2,Master's degree (MA/MS/MSc/PSM or other Master’s),1,14,50.0
I want help/have asked for help but have not yet received it,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",0,1,33.33333333333333
I want help/have asked for help but have not yet received it,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",1,2,66.66666666666666
No,1,Doctorate degree (PhD/DPhil/MD),0,703,70.08973080757727
No,1,Doctorate degree (PhD/DPhil/MD),1,300,29.910269192422735
No,2,Master's degree (MA/MS/MSc/PSM or other Master’s),0,304,80.63660477453581
No,2,Master's degree (MA/MS/MSc/PSM or other Master’s),1,73,19.363395225464192
No,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",0,18,78.26086956521739
No,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",1,5,21.73913043478261
Prefer not to say,1,Doctorate degree (PhD/DPhil/MD),0,48,69.56521739130434
Prefer not to say,1,Doctorate degree (PhD/DPhil/MD),1,21,30.434782608695656
Prefer not to say,2,Master's degree (MA/MS/MSc/PSM or other Master’s),0,16,72.72727272727273
Prefer not to say,2,Master's degree (MA/MS/MSc/PSM or other Master’s),1,6,27.27272727272727
Yes,1,Doctorate degree (PhD/DPhil/MD),0,497,56.28539071347678
Yes,1,Doctorate degree (PhD/DPhil/MD),1,386,43.71460928652321
Yes,2,Master's degree (MA/MS/MSc/PSM or other Master’s),0,130,72.62569832402235
Yes,2,Master's degree (MA/MS/MSc/PSM or other Master’s),1,49,27.37430167597765
Yes,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",0,13,68.42105263157895
Yes,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",1,6,31.57894736842105
