question,factor,degree_code_int,degree_label,level,high_stress_group,count,percent
Q27.f – Overall relationship with supervisor,v079_num,1,Doctorate degree (PhD/DPhil/MD),High support (5–7),0,223,39.399293286219084
Q27.f – Overall relationship with supervisor,v079_num,1,Doctorate degree (PhD/DPhil/MD),High support (5–7),1,343,60.600706713780916
Q27.f – Overall relationship with supervisor,v079_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),High support (5–7),0,81,64.28571428571429
Q27.f – Overall relationship with supervisor,v079_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),High support (5–7),1,45,35.714285714285715
Q27.f – Overall relationship with supervisor,v079_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",High support (5–7),0,4,40.0
Q27.f – Overall relationship with supervisor,v079_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",High support (5–7),1,6,60.0
Q27.f – Overall relationship with supervisor,v079_num,1,Doctorate degree (PhD/DPhil/MD),Low support (1–3),0,1086,67.79026217228464
Q27.f – Overall relationship with supervisor,v079_num,1,Doctorate degree (PhD/DPhil/MD),Low support (1–3),1,516,32.20973782771536
Q27.f – Overall relationship with supervisor,v079_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Low support (1–3),0,379,79.78947368421052
Q27.f – Overall relationship with supervisor,v079_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Low support (1–3),1,96,20.210526315789473
Q27.f – Overall relationship with supervisor,v079_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Low support (1–3),0,25,71.42857142857143
Q27.f – Overall relationship with supervisor,v079_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Low support (1–3),1,10,28.57142857142857
Q27.f – Overall relationship with supervisor,v079_num,1,Doctorate degree (PhD/DPhil/MD),Neutral (4),0,144,53.73134328358209
Q27.f – Overall relationship with supervisor,v079_num,1,Doctorate degree (PhD/DPhil/MD),Neutral (4),1,124,46.26865671641791
Q27.f – Overall relationship with supervisor,v079_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Neutral (4),0,59,56.730769230769226
Q27.f – Overall relationship with supervisor,v079_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Neutral (4),1,45,43.269230769230774
Q27.f – Overall relationship with supervisor,v079_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Neutral (4),0,3,100.0
