region_continent,country_name,high_stress_count,high_stress_percent,non_high_stress_count,non_high_stress_percent,total_count
Africa,South Africa,10.0,29.411764705882355,24.0,70.58823529411765,34
Africa,Nigeria,4.0,22.22222222222222,14.0,77.77777777777779,18
Africa,Ethiopia,1.0,10.0,9.0,90.0,10
Africa,Kenya,1.0,12.5,7.0,87.5,8
Africa,Ghana,0.0,0.0,5.0,100.0,5
Africa,Morocco,0.0,0.0,5.0,100.0,5
Africa,Algeria,0.0,0.0,4.0,100.0,4
Africa,Egypt,0.0,0.0,4.0,100.0,4
Africa,Uganda,2.0,66.66666666666666,1.0,33.33333333333333,3
Africa,Botswana,0.0,0.0,2.0,100.0,2
Africa,Cameroon,2.0,100.0,0.0,0.0,2
Africa,Namibia,0.0,0.0,2.0,100.0,2
Africa,"Congo, Democratic Republic of",0.0,0.0,1.0,100.0,1
Africa,Lesotho,0.0,0.0,1.0,100.0,1
Africa,Malawi,0.0,0.0,1.0,100.0,1
Africa,Niger,0.0,0.0,1.0,100.0,1
Africa,Rwanda,1.0,100.0,0.0,0.0,1
Africa,Senegal,0.0,0.0,1.0,100.0,1
Africa,Tunisia,1.0,100.0,0.0,0.0,1
Africa,Zimbabwe,0.0,0.0,1.0,100.0,1
Asia,China,182.0,41.17647058823529,260.0,58.82352941176471,442
Asia,India,78.0,45.348837209302324,94.0,54.65116279069767,172
Asia,South Korea,12.0,44.44444444444444,15.0,55.55555555555556,27
Asia,Japan,8.0,34.78260869565217,15.0,65.21739130434783,23
Asia,Israel and the Palestinian territories,8.0,40.0,12.0,60.0,20
Asia,Singapore,5.0,27.77777777777778,13.0,72.22222222222221,18
Asia,Hong Kong,6.0,37.5,10.0,62.5,16
Asia,Pakistan,2.0,22.22222222222222,7.0,77.77777777777779,9
Asia,Taiwan,2.0,22.22222222222222,7.0,77.77777777777779,9
Asia,Iran,2.0,28.57142857142857,5.0,71.42857142857143,7
Asia,Malaysia,0.0,0.0,7.0,100.0,7
Asia,Nepal,0.0,0.0,7.0,100.0,7
Asia,Turkey,1.0,14.285714285714285,6.0,85.71428571428571,7
Asia,Philippines,1.0,16.666666666666664,5.0,83.33333333333334,6
Asia,Lebanon,1.0,25.0,3.0,75.0,4
Asia,Bangladesh,0.0,0.0,3.0,100.0,3
Asia,Thailand,0.0,0.0,3.0,100.0,3
Asia,Jordan,1.0,50.0,1.0,50.0,2
Asia,Qatar,0.0,0.0,2.0,100.0,2
Asia,Saudi Arabia,1.0,50.0,1.0,50.0,2
Asia,Indonesia,0.0,0.0,1.0,100.0,1
Asia,Iraq,0.0,0.0,1.0,100.0,1
Asia,Kuwait,0.0,0.0,1.0,100.0,1
Asia,Other,0.0,0.0,1.0,100.0,1
Australasia,Australia,34.0,33.663366336633665,67.0,66.33663366336634,101
Australasia,New Zealand,4.0,20.0,16.0,80.0,20
Europe,France,101.0,39.453125,155.0,60.546875,256
Europe,Germany,90.0,39.823008849557525,136.0,60.17699115044248,226
Europe,United Kingdom,74.0,35.406698564593306,135.0,64.5933014354067,209
Europe,Spain,23.0,39.6551724137931,35.0,60.3448275862069,58
Europe,Italy,21.0,38.18181818181819,34.0,61.81818181818181,55
Europe,Sweden,15.0,31.25,33.0,68.75,48
Europe,Switzerland,18.0,45.0,22.0,55.00000000000001,40
Europe,Netherlands,13.0,38.23529411764706,21.0,61.76470588235294,34
Europe,Portugal,9.0,28.125,23.0,71.875,32
Europe,Poland,12.0,42.857142857142854,16.0,57.14285714285714,28
Europe,Austria,15.0,60.0,10.0,40.0,25
Europe,Belgium,9.0,40.909090909090914,13.0,59.09090909090909,22
Europe,Denmark,7.0,46.666666666666664,8.0,53.333333333333336,15
Europe,Norway,7.0,50.0,7.0,50.0,14
Europe,Ireland,2.0,15.384615384615385,11.0,84.61538461538461,13
Europe,Czech Republic,5.0,45.45454545454545,6.0,54.54545454545454,11
Europe,Finland,2.0,20.0,8.0,80.0,10
Europe,Greece,2.0,25.0,6.0,75.0,8
Europe,Hungary,1.0,12.5,7.0,87.5,8
Europe,Russia,1.0,14.285714285714285,6.0,85.71428571428571,7
Europe,Luxembourg,4.0,80.0,1.0,20.0,5
Europe,Slovenia,1.0,20.0,4.0,80.0,5
Europe,Malta,0.0,0.0,4.0,100.0,4
Europe,Slovakia (Slovak Republic),1.0,33.33333333333333,2.0,66.66666666666666,3
Europe,Croatia,0.0,0.0,2.0,100.0,2
Europe,Romania,0.0,0.0,2.0,100.0,2
Europe,Turkey,0.0,0.0,2.0,100.0,2
Europe,Bosnia and Herzegovina,0.0,0.0,1.0,100.0,1
Europe,Cyprus,1.0,100.0,0.0,0.0,1
Europe,Lithuania,0.0,0.0,1.0,100.0,1
Europe,Ukraine,0.0,0.0,1.0,100.0,1
North/Central America,United States,314.0,39.847715736040605,474.0,60.15228426395939,788
North/Central America,Canada,28.0,27.184466019417474,75.0,72.81553398058253,103
North/Central America,Mexico,8.0,36.36363636363637,14.0,63.63636363636363,22
North/Central America,Guatemala,0.0,0.0,1.0,100.0,1
North/Central America,Other,1.0,100.0,0.0,0.0,1
North/Central America,Panama,0.0,0.0,1.0,100.0,1
North/Central America,United States Virgin Islands,0.0,0.0,1.0,100.0,1
South America,Brazil,24.0,20.51282051282051,93.0,79.48717948717949,117
South America,Argentina,3.0,21.428571428571427,11.0,78.57142857142857,14
South America,Chile,8.0,57.14285714285714,6.0,42.857142857142854,14
South America,Colombia,1.0,8.333333333333332,11.0,91.66666666666666,12
South America,Peru,2.0,18.181818181818183,9.0,81.81818181818183,11
South America,Ecuador,1.0,25.0,3.0,75.0,4
South America,Paraguay,0.0,0.0,1.0,100.0,1
