resp_id,degree_label,degree_code_int,region_continent,hours_level,high_stress_group,v089,v089_code,worklife_score,v084_num,degree_duration_text,degree_duration_years,degree_progress_text,degree_progress_years,study_in_home_country,study_in_home_country_flag,high_hours_flag,low_worklife_flag,high_hours_only_flag,low_worklife_only_flag,both_high_hours_and_low_wlb_flag,v079_num,v091_num,v097_num,v100_num,v101_num,supervisor_support_raw,institution_support_raw,supervisor_z,institution_z,supervisor_cat,institution_cat,support_quadrant_label,degree_prep_code,degree_prep_label,caring_responsibility_code,caring_responsibility_label
1,Doctorate,1.0,South America,low,0,11-20 hours,8.0,4.0,3.0,5 years ,5.0,2 years,2.0,Yes,1.0,0,0,0,0,0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,0.7382115296131505,0.8899229862272199,High,High,High supervisor / High institution,3.0,Neither well nor badly,1.0,Somewhat agree
2,Doctorate,1.0,Europe,low,0,11-20 hours,8.0,3.0,1.0,More than 7 years,8.0,More than 7 years,8.0,Yes,1.0,0,1,0,1,0,6.0,5.0,1.0,1.0,4.0,5.5,2.0,1.781524825702662,-0.801073992433198,High,Low,High supervisor / Low institution,3.0,Neither well nor badly,5.0,Strongly disagree
3,Doctorate,1.0,Europe,very_high,1,61-70 hours,4.0,3.0,1.0,4 years,4.0,3 years,3.0,Yes,1.0,1,1,0,0,1,2.0,1.0,4.0,1.0,1.0,1.5,2.0,-1.0006439638693685,-0.801073992433198,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
4,Doctorate,1.0,Europe,high,0,51-60 hours,2.0,4.0,3.0,4 years,4.0,4 years,4.0,No,0.0,1,0,1,0,0,1.0,1.0,3.0,1.0,1.0,1.0,1.6666666666666667,-1.348415062565872,-1.0829068222099345,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
5,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,1 year,1.0,No,0.0,1,1,0,0,1,2.0,1.0,6.0,3.0,2.0,1.5,3.6666666666666665,-1.0006439638693685,0.6080901564504835,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
6,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,5 years,5.0,Yes,1.0,1,1,0,0,1,6.0,4.0,1.0,2.0,1.0,5.0,1.3333333333333333,1.433753727006158,-1.3647396519866708,High,Low,High supervisor / Low institution,2.0,Well,5.0,Strongly disagree
7,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,5.0,2.0,5 years ,5.0,2 years,2.0,Yes,1.0,0,0,0,0,0,6.0,1.0,6.0,3.0,1.0,3.5,3.333333333333333,0.3904404309166467,0.3262573266737473,Medium,Medium,Medium supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
8,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,5.0,2.0,4 years,4.0,3 years,3.0,Yes,1.0,0,0,0,0,0,1.0,1.0,2.0,3.0,5.0,1.0,3.333333333333333,-1.348415062565872,0.3262573266737473,Low,Medium,Low supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
9,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,4.0,3.0,4 years,4.0,2 years,2.0,Yes,1.0,0,0,0,0,0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,0.7382115296131505,-0.801073992433198,High,Low,High supervisor / Low institution,2.0,Well,3.0,Neither agree nor disagree
10,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,4.0,3.0,6 years,6.0,5 years,5.0,No,0.0,1,0,1,0,0,4.0,3.0,6.0,3.0,3.0,3.5,4.0,0.3904404309166467,0.8899229862272199,Medium,High,Medium supervisor / High institution,1.0,Very well,1.0,Somewhat agree
11,Doctorate,1.0,Europe,very_high,1,71-80 hours,6.0,1.0,5.0,4 years,4.0,4 years,4.0,Yes,1.0,1,1,0,0,1,4.0,5.0,2.0,2.0,4.0,4.5,2.6666666666666665,1.0859826283096543,-0.2374083328797255,High,Medium,High supervisor / Medium institution,3.0,Neither well nor badly,5.0,Strongly disagree
12,Doctorate,1.0,Europe,very_high,1,61-70 hours,4.0,3.0,1.0,4 years,4.0,3 years,3.0,No,0.0,1,1,0,0,1,4.0,5.0,1.0,4.0,4.0,4.5,3.0,1.0859826283096543,0.0444244968970109,High,Medium,High supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
13,Master's,2.0,Asia,medium,0,21-30 hours,5.0,4.0,3.0,2 years,2.0,Less than a year,0.5,No,0.0,0,0,0,0,0,1.0,1.0,2.0,1.0,2.0,1.0,1.6666666666666667,-1.348415062565872,-1.0829068222099345,Low,Low,Low supervisor / Low institution,3.0,Neither well nor badly,1.0,Somewhat agree
14,Doctorate,1.0,Africa,very_high,1,More than 80 hours,7.0,1.0,5.0,4 years,4.0,Less than a year,0.5,Yes,1.0,1,1,0,0,1,8.0,1.0,4.0,5.0,4.0,4.5,4.333333333333333,1.0859826283096543,1.1717558160039558,High,High,High supervisor / High institution,3.0,Neither well nor badly,1.0,Somewhat agree
15,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,6.0,6.0,5 years ,5.0,4 years,4.0,Yes,1.0,0,0,0,0,0,7.0,3.0,2.0,1.0,2.0,5.0,1.6666666666666667,1.433753727006158,-1.0829068222099345,High,Low,High supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
16,Master's,2.0,North/Central America,high,0,51-60 hours,2.0,4.0,3.0,2 years,2.0,1 year,1.0,No,0.0,1,0,1,0,0,2.0,2.0,3.0,1.0,5.0,2.0,3.0,-0.6528728651728645,0.0444244968970109,Low,Medium,Low supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
